"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1368","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","13861","testing the links","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","8908","testing Buttons","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","4713","testing radio button","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","1769","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2201","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1428","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","8058","Testing text box","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","7472","testing Buttons","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","6806","testing the links","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","1654","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7306","testing radio button","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","17990","testing radio button","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","6897","testing Buttons","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","4971","Testing text box","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","10328","testing the links","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","2154","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6228","Testing text box","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
