"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2402","testing radio button","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","17039","Testing text box","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","3273","Testing text box","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","1654","testing radio button","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","4030","testing the links","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","1864","Testing text box","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","493","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","804","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2021","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","790","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2892","testing the links","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","3706","testing radio button","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","240","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2162","testing the links","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","3994","testing Buttons","firefox","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","1885","testing Buttons","chromium","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
"","505","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2667","testing Buttons","webkit","2026-03-12","passed","2026-03-12","","DemoqaTest.spec.js","",""
